                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     72,                 1.2304,                 1.3881,                0.63012,                0.84117,                0.76195,                0.66667,                0.70267,                0.39341,                0.51542,                0.54167,                0.51311,                0.18755,                 1.3575,                0.95034,                0.89711,                0.89421,              0.0064855,              0.0064855,              0.0064855
                     73,                 1.2221,                 1.4279,                0.62826,                0.85751,                0.79482,                0.64615,                0.69671,                 0.3833,                0.59887,                0.49777,                0.47931,                0.20421,                 1.3972,                  0.938,                0.89032,                 0.8894,               0.006436,               0.006436,               0.006436
                     74,                 1.2694,                 1.5173,                0.63028,                0.83213,                      1,                0.53881,                0.68527,                0.33958,                0.43252,                0.25432,                0.31639,                0.16013,                 1.3869,                0.98313,                  1.192,                0.89711,              0.0063865,              0.0063865,              0.0063865
                     75,                 1.2641,                 1.3926,                 0.6484,                0.84446,                0.79757,                0.66667,                0.69997,                0.38768,                0.50432,                0.42422,                0.41111,                 0.1953,                 1.2578,                0.95553,                  1.275,                0.86841,               0.006337,               0.006337,               0.006337
                     76,                 1.1705,                 1.3385,                0.61466,                0.83468,                0.72578,                0.66187,                0.64324,                0.37288,                0.55436,                0.46682,                0.43038,                0.17869,                 1.2538,                0.95057,                 1.0733,                0.87736,              0.0062875,              0.0062875,              0.0062875
                     77,                 1.1391,                 1.3118,                0.62563,                 0.8236,                0.66721,                  0.625,                0.64613,                0.37754,                0.41908,                0.42097,                0.40461,                0.18761,                 1.2543,                  1.007,                0.81265,                0.88755,               0.006238,               0.006238,               0.006238
                     78,                 1.2371,                 1.3457,                0.62645,                0.83692,                0.75291,                  0.625,                0.65635,                0.34747,                 0.4758,                0.41604,                0.38345,                 0.2025,                 1.3617,                0.91396,                 1.0232,                 0.8971,              0.0061885,              0.0061885,              0.0061885
                     79,                 1.1853,                 1.4978,                0.61504,                0.83356,                0.74715,                0.49288,                0.58369,                0.38155,                0.41164,                0.49571,                0.41414,                0.19058,                 1.2864,                0.90946,                0.80041,                0.88958,               0.006139,               0.006139,               0.006139
                     80,                 1.1987,                 1.3108,                 0.6307,                0.83768,                0.67346,                 0.6879,                0.68669,                0.38339,                0.47675,                    0.5,                0.42777,                0.20993,                  1.211,                0.91567,                0.71495,                0.86701,              0.0060895,              0.0060895,              0.0060895
                     81,                 1.1175,                 1.3167,                0.59763,                0.83082,                0.91669,                0.54167,                0.69708,                0.36731,                0.40968,                0.45833,                 0.4259,                 0.1875,                 1.2887,                 0.8835,                0.74933,                0.86715,                0.00604,                0.00604,                0.00604
